Município,Superior Completo (%),Categoria
Goiânia,27.651960374630804,Top 5 (Maior Escolaridade)
Alto Paraíso de Goiás,24.354538195368644,Top 5 (Maior Escolaridade)
Ceres,23.446779351301963,Top 5 (Maior Escolaridade)
Anápolis,20.49143402276311,Top 5 (Maior Escolaridade)
Formosa,20.10796221322537,Top 5 (Maior Escolaridade)
Guarinos,3.242617255356109,Bottom 5 (Menor Escolaridade)
Teresina de Goiás,3.890410958904109,Bottom 5 (Menor Escolaridade)
Sítio d'Abadia,5.006890215893431,Bottom 5 (Menor Escolaridade)
Buritinópolis,5.105105105105105,Bottom 5 (Menor Escolaridade)
Vila Boa,5.224132119986518,Bottom 5 (Menor Escolaridade)
